order_id,user_id,product_id,quantity,price,timestamp,category
1,340599,102529,5,843.17,2024-08-24 06:30:38,Furniture
2,64721,140974,5,124.13,2024-10-22 09:04:21,Toys
3,504911,357605,2,923.99,2024-12-13 08:23:34,Clothing
4,654001,112207,8,954.51,2024-12-06 18:23:54,Clothing
5,185445,86003,8,780.81,2024-08-02 17:14:21,Grocery
6,536696,33827,7,657.96,2024-08-23 18:39:28,Home
7,220658,464238,6,206.01,2024-09-06 11:51:31,Toys
8,868622,163477,8,391.58,2024-08-11 08:35:37,Furniture
9,577446,429476,7,165.2,2024-07-01 22:11:36,Sports
10,636798,258676,5,629.66,2024-08-09 14:21:42,Electronics
11,103726,336641,1,791.4,2024-07-01 23:41:52,Furniture
12,204497,65003,5,861.6,2024-07-14 08:48:37,Sports
13,95973,44359,3,983.11,2024-11-29 15:04:09,Beauty
14,523093,326973,4,684.26,2024-11-26 16:06:51,Books
15,700970,37868,7,788.16,2024-12-03 17:47:23,Automotive
16,550429,144371,9,648.29,2024-11-22 00:25:56,Beauty
17,952459,274464,2,639.34,2024-08-17 21:33:54,Beauty
18,206682,365053,6,458.32,2024-10-19 03:46:43,Home
19,771492,376489,5,45.03,2024-08-18 13:01:32,Sports
20,916887,32972,7,848.08,2024-11-08 11:52:25,Home
21,504831,299852,8,253.18,2024-12-08 04:21:52,Grocery
22,318995,236785,3,738.39,2024-09-20 17:45:20,Grocery
23,831138,329932,6,804.62,2024-08-15 18:09:48,Grocery
24,501274,163499,4,975.32,2024-12-02 09:43:32,Automotive
25,615894,326799,6,58.15,2024-09-17 00:02:44,Beauty
26,85725,300819,1,602.07,2024-07-30 03:33:17,Books
27,765641,255601,2,711.79,2024-08-26 21:25:04,Beauty
28,416651,231298,6,739.73,2024-07-01 02:31:47,Furniture
29,953205,204264,6,21.34,2024-12-14 17:37:56,Beauty
30,280499,401540,3,855.55,2024-10-05 03:22:17,Grocery
31,821268,336485,1,340.34,2024-11-30 19:35:41,Sports
32,806285,310275,3,407.74,2024-12-08 09:34:57,Toys
33,439345,68003,2,36.67,2024-07-12 08:57:59,Electronics
34,982802,365412,4,62.26,2024-11-17 20:46:23,Grocery
35,537092,297534,7,897.57,2024-09-29 00:55:45,Clothing
36,862769,188212,8,859.41,2024-10-02 14:23:53,Furniture
37,384905,14723,1,695.4,2024-08-29 12:54:36,Toys
38,860420,141098,4,306.38,2024-07-17 07:05:58,Furniture
39,229827,377542,1,139.69,2024-09-04 04:27:24,Beauty
